Iteration n, Sampletime t (sec), Signal x[n] (real, img), Output y[n] (real, img), Actual_Output y(t) (real, img), Difference y(t)-y[n] (real, img)

Square Error : 0.053875
n:   58, t: 0.014500, x[n]: (-1.000000,-0.000012), y[n]: (-0.999367,-0.000645), y(t):  (-0.999991,0.002972), diff:  (-0.000624,0.003617)
n:   59, t: 0.014750, x[n]:  (-0.000025,1.000000), y[n]:  (-0.000658,0.999367), y(t):   (0.002959,0.999991), diff:   (0.003617,0.000624)
n:   60, t: 0.015000, x[n]:   (1.000000,0.000008), y[n]:   (0.999367,0.000641), y(t):  (0.999991,-0.002976), diff:  (0.000624,-0.003617)
n:   61, t: 0.015250, x[n]:  (0.000022,-1.000000), y[n]:  (0.000654,-0.999367), y(t): (-0.002962,-0.999991), diff: (-0.003617,-0.000624)
n:   62, t: 0.015500, x[n]: (-1.000000,-0.000035), y[n]: (-0.999367,-0.000668), y(t):  (-0.999991,0.002949), diff:  (-0.000624,0.003617)
n:   63, t: 0.015750, x[n]:  (-0.000018,1.000000), y[n]:  (-0.000650,0.999367), y(t):   (0.002966,0.999991), diff:   (0.003617,0.000624)
n:   64, t: 0.016000, x[n]:   (1.000000,0.000031), y[n]:   (0.999367,0.000664), y(t):  (0.999991,-0.002953), diff:  (0.000624,-0.003617)
n:   65, t: 0.016250, x[n]:  (0.000045,-1.000000), y[n]:  (0.000677,-0.999367), y(t): (-0.002939,-0.999991), diff: (-0.003617,-0.000624)
n:   66, t: 0.016500, x[n]:  (-1.000000,0.000003), y[n]: (-0.999367,-0.000629), y(t):  (-0.999991,0.002987), diff:  (-0.000624,0.003617)
n:   67, t: 0.016750, x[n]:  (-0.000010,1.000000), y[n]:  (-0.000643,0.999367), y(t):   (0.002974,0.999991), diff:   (0.003617,0.000624)
n:   68, t: 0.017000, x[n]:   (1.000000,0.000024), y[n]:   (0.999367,0.000656), y(t):  (0.999991,-0.002960), diff:  (0.000624,-0.003617)
n:   69, t: 0.017250, x[n]:  (0.000037,-1.000000), y[n]:  (0.000669,-0.999367), y(t): (-0.002947,-0.999991), diff: (-0.003617,-0.000624)
n:   70, t: 0.017500, x[n]: (-1.000000,-0.000020), y[n]: (-0.999367,-0.000652), y(t):  (-0.999991,0.002964), diff:  (-0.000624,0.003617)
n:   71, t: 0.017750, x[n]:  (-0.000033,1.000000), y[n]:  (-0.000666,0.999367), y(t):   (0.002951,0.999991), diff:   (0.003617,0.000624)
n:   72, t: 0.018000, x[n]:   (1.000000,0.000047), y[n]:   (0.999367,0.000679), y(t):  (0.999991,-0.002937), diff:  (0.000624,-0.003617)
n:   73, t: 0.018250, x[n]:  (0.000029,-1.000000), y[n]:  (0.000662,-0.999367), y(t): (-0.002955,-0.999991), diff: (-0.003617,-0.000624)
n:   74, t: 0.018500, x[n]: (-1.000000,-0.000012), y[n]: (-0.999367,-0.000645), y(t):  (-0.999991,0.002972), diff:  (-0.000624,0.003617)
n:   75, t: 0.018750, x[n]:  (-0.000026,1.000000), y[n]:  (-0.000658,0.999367), y(t):   (0.002958,0.999991), diff:   (0.003617,0.000624)
n:   76, t: 0.019000, x[n]:   (1.000000,0.000039), y[n]:   (0.999367,0.000671), y(t):  (0.999991,-0.002945), diff:  (0.000624,-0.003617)
n:   77, t: 0.019250, x[n]:  (0.000052,-1.000000), y[n]:  (0.000685,-0.999367), y(t): (-0.002932,-0.999991), diff: (-0.003617,-0.000625)
n:   78, t: 0.019500, x[n]: (-1.000000,-0.000035), y[n]: (-0.999367,-0.000668), y(t):  (-0.999991,0.002949), diff:  (-0.000624,0.003617)
n:   79, t: 0.019750, x[n]:  (-0.000018,1.000000), y[n]:  (-0.000651,0.999367), y(t):   (0.002966,0.999991), diff:   (0.003617,0.000624)
n:   80, t: 0.020000, x[n]:   (1.000000,0.000031), y[n]:   (0.999367,0.000664), y(t):  (0.999991,-0.002953), diff:  (0.000624,-0.003617)
n:   81, t: 0.020250, x[n]:  (0.000014,-1.000000), y[n]:  (0.000647,-0.999367), y(t): (-0.002970,-0.999991), diff: (-0.003617,-0.000624)
n:   82, t: 0.020500, x[n]: (-1.000000,-0.000028), y[n]: (-0.999367,-0.000660), y(t):  (-0.999991,0.002956), diff:  (-0.000624,0.003617)
n:   83, t: 0.020750, x[n]:  (-0.000041,1.000000), y[n]:  (-0.000673,0.999367), y(t):   (0.002943,0.999991), diff:   (0.003617,0.000624)
n:   84, t: 0.021000, x[n]:   (1.000000,0.000054), y[n]:   (0.999367,0.000687), y(t):  (0.999991,-0.002930), diff:  (0.000625,-0.003617)
n:   85, t: 0.021250, x[n]:  (0.000007,-1.000000), y[n]:  (0.000639,-0.999367), y(t): (-0.002977,-0.999991), diff: (-0.003617,-0.000624)
n:   86, t: 0.021500, x[n]: (-1.000000,-0.000020), y[n]: (-0.999367,-0.000653), y(t):  (-0.999991,0.002964), diff:  (-0.000624,0.003617)
n:   87, t: 0.021750, x[n]:  (-0.000033,1.000000), y[n]:  (-0.000666,0.999367), y(t):   (0.002951,0.999991), diff:   (0.003617,0.000624)
n:   88, t: 0.022000, x[n]:   (1.000000,0.000047), y[n]:   (0.999367,0.000679), y(t):  (0.999991,-0.002937), diff:  (0.000624,-0.003617)
n:   89, t: 0.022250, x[n]:  (0.000030,-1.000000), y[n]:  (0.000662,-0.999367), y(t): (-0.002954,-0.999991), diff: (-0.003617,-0.000624)
n:   90, t: 0.022500, x[n]: (-1.000000,-0.000043), y[n]: (-0.999367,-0.000675), y(t):  (-0.999991,0.002941), diff:  (-0.000624,0.003617)
n:   91, t: 0.022750, x[n]:  (-0.000056,1.000000), y[n]:  (-0.000689,0.999367), y(t):   (0.002928,0.999991), diff:   (0.003617,0.000625)
n:   92, t: 0.023000, x[n]:   (1.000000,0.000039), y[n]:   (0.999367,0.000672), y(t):  (0.999991,-0.002945), diff:  (0.000624,-0.003617)
n:   93, t: 0.023250, x[n]:  (0.000022,-1.000000), y[n]:  (0.000655,-0.999367), y(t): (-0.002962,-0.999991), diff: (-0.003617,-0.000624)
n:   94, t: 0.023500, x[n]: (-1.000000,-0.000035), y[n]: (-0.999367,-0.000668), y(t):  (-0.999991,0.002949), diff:  (-0.000624,0.003617)
n:   95, t: 0.023750, x[n]:  (-0.000049,1.000000), y[n]:  (-0.000681,0.999367), y(t):   (0.002935,0.999991), diff:   (0.003617,0.000624)
n:   96, t: 0.024000, x[n]:   (1.000000,0.000032), y[n]:   (0.999367,0.000664), y(t):  (0.999991,-0.002952), diff:  (0.000624,-0.003617)
n:   97, t: 0.024250, x[n]:  (0.000045,-1.000000), y[n]:  (0.000677,-0.999367), y(t): (-0.002939,-0.999991), diff: (-0.003617,-0.000624)
n:   98, t: 0.024500, x[n]: (-1.000000,-0.000028), y[n]: (-0.999367,-0.000660), y(t):  (-0.999991,0.002956), diff:  (-0.000624,0.003617)
n:   99, t: 0.024750, x[n]:  (-0.000041,1.000000), y[n]:  (-0.000674,0.999367), y(t):   (0.002943,0.999991), diff:   (0.003617,0.000624)
n:  100, t: 0.025000, x[n]:   (1.000000,0.000024), y[n]:   (0.999367,0.000657), y(t):  (0.999991,-0.002960), diff:  (0.000624,-0.003617)
n:  101, t: 0.025250, x[n]:  (0.000037,-1.000000), y[n]:  (0.000670,-0.999367), y(t): (-0.002947,-0.999991), diff: (-0.003617,-0.000624)
n:  102, t: 0.025500, x[n]: (-1.000000,-0.000051), y[n]: (-0.999367,-0.000683), y(t):  (-0.999991,0.002933), diff:  (-0.000625,0.003617)
n:  103, t: 0.025750, x[n]:  (-0.000064,1.000000), y[n]:  (-0.000697,0.999367), y(t):   (0.002920,0.999991), diff:   (0.003617,0.000625)
n:  104, t: 0.026000, x[n]:   (1.000000,0.000016), y[n]:   (0.999367,0.000649), y(t):  (0.999991,-0.002968), diff:  (0.000624,-0.003617)
n:  105, t: 0.026250, x[n]:  (0.000030,-1.000000), y[n]:  (0.000662,-0.999367), y(t): (-0.002954,-0.999991), diff: (-0.003617,-0.000624)
n:  106, t: 0.026500, x[n]: (-1.000000,-0.000043), y[n]: (-0.999367,-0.000676), y(t):  (-0.999991,0.002941), diff:  (-0.000624,0.003617)
n:  107, t: 0.026750, x[n]:  (-0.000057,1.000000), y[n]:  (-0.000689,0.999367), y(t):   (0.002928,0.999991), diff:   (0.003617,0.000625)
n:  108, t: 0.027000, x[n]:   (1.000000,0.000039), y[n]:   (0.999367,0.000672), y(t):  (0.999991,-0.002945), diff:  (0.000624,-0.003617)
n:  109, t: 0.027250, x[n]:  (0.000053,-1.000000), y[n]:  (0.000685,-0.999367), y(t): (-0.002931,-0.999991), diff: (-0.003617,-0.000625)
n:  110, t: 0.027500, x[n]: (-1.000000,-0.000066), y[n]: (-0.999367,-0.000699), y(t):  (-0.999991,0.002918), diff:  (-0.000625,0.003617)
n:  111, t: 0.027750, x[n]:  (-0.000080,1.000000), y[n]:  (-0.000712,0.999367), y(t):   (0.002905,0.999991), diff:   (0.003617,0.000625)
n:  112, t: 0.028000, x[n]:   (1.000000,0.000032), y[n]:   (0.999367,0.000664), y(t):  (0.999991,-0.002952), diff:  (0.000625,-0.003617)
n:  113, t: 0.028250, x[n]:  (0.000045,-1.000000), y[n]:  (0.000678,-0.999367), y(t): (-0.002939,-0.999991), diff: (-0.003617,-0.000624)
n:  114, t: 0.028500, x[n]: (-1.000000,-0.000059), y[n]: (-0.999367,-0.000691), y(t):  (-0.999991,0.002926), diff:  (-0.000625,0.003617)
n:  115, t: 0.028750, x[n]:  (-0.000011,1.000000), y[n]:  (-0.000643,0.999367), y(t):   (0.002973,0.999991), diff:   (0.003617,0.000624)
n:  116, t: 0.029000, x[n]:   (1.000000,0.000024), y[n]:   (0.999367,0.000657), y(t):  (0.999991,-0.002960), diff:  (0.000624,-0.003617)
n:  117, t: 0.029250, x[n]:  (0.000038,-1.000000), y[n]:  (0.000670,-0.999367), y(t): (-0.002946,-0.999991), diff: (-0.003617,-0.000624)
n:  118, t: 0.029500, x[n]: (-1.000000,-0.000051), y[n]: (-0.999367,-0.000683), y(t):  (-0.999991,0.002933), diff:  (-0.000625,0.003617)
n:  119, t: 0.029750, x[n]:  (-0.000064,1.000000), y[n]:  (-0.000697,0.999367), y(t):   (0.002920,0.999991), diff:   (0.003617,0.000625)
n:  120, t: 0.030000, x[n]:   (1.000000,0.000017), y[n]:   (0.999367,0.000649), y(t):  (0.999991,-0.002967), diff:  (0.000624,-0.003617)
n:  121, t: 0.030250, x[n]:  (0.000030,-1.000000), y[n]:  (0.000662,-0.999367), y(t): (-0.002954,-0.999991), diff: (-0.003617,-0.000624)
n:  122, t: 0.030500, x[n]: (-1.000000,-0.000043), y[n]: (-0.999367,-0.000676), y(t):  (-0.999991,0.002941), diff:  (-0.000624,0.003617)
n:  123, t: 0.030750, x[n]:  (-0.000057,1.000000), y[n]:  (-0.000689,0.999367), y(t):   (0.002927,0.999991), diff:   (0.003617,0.000625)
n:  124, t: 0.031000, x[n]:   (1.000000,0.000070), y[n]:   (0.999367,0.000703), y(t):  (0.999991,-0.002914), diff:  (0.000625,-0.003617)
n:  125, t: 0.031250, x[n]:  (0.000022,-1.000000), y[n]:  (0.000655,-0.999367), y(t): (-0.002962,-0.999991), diff: (-0.003617,-0.000624)
n:  126, t: 0.031500, x[n]: (-1.000000,-0.000036), y[n]: (-0.999367,-0.000668), y(t):  (-0.999991,0.002948), diff:  (-0.000624,0.003617)
n:  127, t: 0.031750, x[n]:  (-0.000049,1.000000), y[n]:  (-0.000682,0.999367), y(t):   (0.002935,0.999991), diff:   (0.003617,0.000624)
n:  128, t: 0.032000, x[n]:   (1.000000,0.000063), y[n]:   (0.999367,0.000695), y(t):  (0.999991,-0.002922), diff:  (0.000625,-0.003617)
n:  129, t: 0.032250, x[n]:  (0.000076,-1.000000), y[n]:  (0.000708,-0.999367), y(t): (-0.002908,-0.999991), diff: (-0.003617,-0.000625)
n:  130, t: 0.032500, x[n]: (-1.000000,-0.000089), y[n]: (-0.999367,-0.000722), y(t):  (-0.999991,0.002895), diff:  (-0.000625,0.003617)
n:  131, t: 0.032750, x[n]:  (-0.000103,1.000000), y[n]:  (-0.000735,0.999367), y(t):   (0.002881,0.999991), diff:   (0.003617,0.000625)
n:  132, t: 0.033000, x[n]:  (1.000000,-0.000006), y[n]:   (0.999367,0.000626), y(t):  (0.999991,-0.002990), diff:  (0.000624,-0.003617)
